Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Source
2024-11-19 00:00:00-05:00,562.3071674504388,567.2545284537242,558.2814381250952,563.9757080078125,2217400,0.0,0.0,Barchart (via proxy)
2024-11-20 00:00:00-05:00,566.3523611996445,570.2034860404254,559.3581799328618,564.5092163085938,1528600,0.0,0.0,Barchart (via proxy)
2024-11-21 00:00:00-05:00,568.9520607546468,582.7172667984069,567.0119333867201,578.2646484375,2281900,0.0,0.0,Barchart (via proxy)
2024-11-22 00:00:00-05:00,578.3714318187124,585.8603554199966,576.6447489789745,584.735107421875,1733700,0.0,0.0,Barchart (via proxy)
2024-11-25 00:00:00-05:00,590.565179453456,593.0000493119735,580.9033809175086,584.9776611328125,2940800,0.0,0.0,Barchart (via proxy)
2024-11-26 00:00:00-05:00,582.1643586298659,589.0130062848514,575.2477994079338,587.3735961914062,2846500,0.0,0.0,Barchart (via proxy)
2024-11-27 00:00:00-05:00,589.4884299310798,593.9216291062986,585.2201842503806,587.3057861328125,1424500,0.0,0.0,Barchart (via proxy)
2024-11-29 00:00:00-05:00,591.0695222490862,594.3871235897924,588.8868788813601,590.3516845703125,1170200,0.0,0.0,Barchart (via proxy)
2024-12-02 00:00:00-05:00,592.7206528188045,596.5323663627692,586.189015303598,586.5887451171875,1804100,3.0,0.0,Barchart (via proxy)
2024-12-03 00:00:00-05:00,593.6565700126491,596.0547109740058,585.7016013324279,586.949462890625,1718100,0.0,0.0,Barchart (via proxy)
2024-12-04 00:00:00-05:00,587.8462921533876,589.0941536393175,581.7631161627563,583.6641235351562,1617300,0.0,0.0,Barchart (via proxy)
2024-12-05 00:00:00-05:00,585.4384278338542,591.3168601633115,581.3634208343582,581.8021240234375,1672800,0.0,0.0,Barchart (via proxy)
2024-12-06 00:00:00-05:00,582.15305100282,584.9217065946121,579.4331864876277,584.6097412109375,1405700,0.0,0.0,Barchart (via proxy)
2024-12-09 00:00:00-05:00,583.9370627523933,587.8462989037876,578.7994815308411,579.189453125,1633200,0.0,0.0,Barchart (via proxy)
